,Title,Director,Actors,Rating,Revenue (Millions),fb_likes,yt_likes_ratio
143,Room,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson",8.2,14.68,161257,29.239534883720932
144,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington",8.4,162.8,2166241,22.20935290918978
145,Ah-ga-ssi,Chan-wook Park,"Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon",8.1,2.01,0,26.893203883495147
146,The Edge of Seventeen,Kelly Fremon Craig,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick",7.4,14.26,100798,59.494346733668344
147,Watchmen,Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman",7.6,107.5,344124,30.897435897435898
148,Superbad,Greg Mottola,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader",7.6,121.46,6673641,25.928571428571427
149,Inferno,Ron Howard,"Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster",6.2,34.26,2671158,17.581683168316832
150,The BFG,Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement",6.4,55.47,135747,14.057784145176695
151,The Hunger Games,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci",7.2,408.0,21400354,26.50578512396694
152,White Girl,Elizabeth Wood,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez",5.8,0.2,53977,4.6195219123505975
153,Sicario,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",7.6,46.88,311513,23.986217457886678
154,Twin Peaks: The Missing Pieces,David Lynch,"Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder",8.1,,1882,284.7142857142857
155,Aliens vs Predator - Requiem,Colin Strause,"Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz",4.7,41.8,1847796,11.045454545454545
156,Pacific Rim,Guillermo del Toro,"Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day",7.0,101.79,2007889,12.26382727003845
157,"Crazy, Stupid, Love.",Glenn Ficarra,"Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",7.4,84.24,1017164,34.50889679715303
158,Scott Pilgrim vs. the World,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill",7.5,31.49,3129448,42.98142414860681
159,Hot Fuzz,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy",7.9,23.62,1331288,28.020661157024794
160,Mine,Fabio Guaglione,"Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer",6.0,,14338,19.88888888888889
161,Free Fire,Ben Wheatley,"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy",7.0,1.8,36390,8.392523364485982
162,X-Men: Days of Future Past,Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",8.0,233.91,14328359,20.701712273963835
163,Jack Reacher: Never Go Back,Edward Zwick,"Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper",6.1,58.4,661411,34.546728971962615
164,Casino Royale,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",8.0,167.01,1293824,25.305555555555557
165,Twilight,Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke",5.2,191.45,44924512,15.652298850574713
166,Now You See Me 2,Jon M. Chu,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",6.5,65.03,2926210,40.18744313011829
167,Woman in Gold,Simon Curtis,"Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes",7.3,33.31,50503,15.194444444444445
168,13 Hours,Michael Bay,"John Krasinski, Pablo Schreiber, James Badge Dale,David Denman",7.3,52.82,439186,11.75
169,Spectre,Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",6.8,200.07,63,20.892545332437876
170,Nightcrawler,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed",7.9,32.28,242358,24.74376731301939
171,Kubo and the Two Strings,Travis Knight,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes",7.9,48.02,246768,14.396782841823056
172,Beyond the Gates,Jackson Stewart,"Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton",5.2,,1930,5.219178082191781
173,Her,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara",8.0,25.56,40067,17.63510101010101
174,Frozen,Chris Buck,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",7.5,400.74,23856310,9.60906862745098
175,Tomorrowland,Brad Bird,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy",6.5,93.42,251664,24.82369942196532
176,Dawn of the Planet of the Apes,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",7.6,208.54,4376736,20.612655800575265
177,Tropic Thunder,Ben Stiller,"Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn",7.0,110.42,842702,19.924581005586592
178,The Conjuring 2,James Wan,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor",7.4,102.46,4644572,18.62593645052958
179,Ant-Man,Peyton Reed,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly",7.3,180.19,1447397,22.287337662337663
180,Bridget Jones's Baby,Sharon Maguire,"Renée Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips",6.7,24.09,807060,5.147362037598545
181,The VVitch: A New-England Folktale,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings",6.8,25.14,442199,10.751210067763795
182,Cinderella,Kenneth Branagh,"Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter",7.0,201.15,14456835,15.673622579192314
183,Realive,Mateo Gil,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward",5.9,,6678,5.672566371681416
184,Forushande,Asghar Farhadi,"Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini",8.0,3.4,5105,9.136363636363637
185,Love,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra",6.0,,24909,7.216
186,Billy Lynn's Long Halftime Walk,Ang Lee,"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee",6.3,1.72,50720,10.13588850174216
